quarter,ecb_shock
2002Q1,0.00333087
2002Q2,0.04156148
2002Q3,0.03763491
2002Q4,0.09370394000000001
2003Q1,0.09542948
2003Q2,0.07514996
2003Q3,0.00414956
2003Q4,0.04143882
2004Q1,-0.00241803
2004Q2,0.05648209
2004Q3,0.01864253
2004Q4,0.0134245
2005Q1,-0.01816235
2005Q2,0.00798641
2005Q3,-0.02394718
2005Q4,-0.06233713
2006Q1,0.0010968100000000001
2006Q2,-0.09556971
2006Q3,0.02913577
2006Q4,0.01058187
2007Q1,-0.027485609999999997
2007Q2,0.010806580000000001
2007Q3,-0.032217579999999996
2007Q4,0.02471865
2008Q1,0.03576784
2008Q2,0.09407425
2008Q3,-0.06601728999999999
2008Q4,0.21300303
2009Q1,-0.013590350000000001
2009Q2,0.05999923
2009Q3,0.008704599999999998
2009Q4,-0.07014606
2010Q1,0.01189718
2010Q2,0.007953259999999997
2010Q3,0.01648813
2010Q4,-0.007742829999999999
2011Q1,0.06421043
2011Q2,-0.07734268
2011Q3,-0.04513712
2011Q4,0.06776825
2012Q1,0.01879029
2012Q2,0.08157494
2012Q3,0.061352040000000004
2012Q4,0.00919029
2013Q1,-0.0012058899999999977
2013Q2,0.05196265
2013Q3,-0.06975126
2013Q4,-0.010766819999999996
2014Q1,0.05823669
2014Q2,-0.055573000000000004
2014Q3,-0.08136055
2014Q4,0.07325807000000001
2015Q1,-0.01886947
2015Q2,0.00741236
2015Q3,-0.03315962
2015Q4,0.09065469000000001
2016Q1,-0.02058062
2016Q2,0.022917069999999998
2016Q3,0.0334953
2016Q4,-0.02712766
2017Q1,-0.023464640000000002
2017Q2,0.0024797
2017Q3,-0.0087218
2017Q4,-0.01932455
2018Q1,-0.0005995399999999991
2018Q2,-0.03918716
2018Q3,-0.0020336499999999997
2018Q4,0.01586212
2019Q1,0.026276559999999997
2019Q2,0.02784615
2019Q3,0.07436163
2019Q4,-0.00264775
2020Q1,0.20784853
2020Q2,0.045263859999999996
2020Q3,-0.02189026
2020Q4,-0.014799239999999998
2021Q1,0.01509516
2021Q2,-0.01374249
2021Q3,-0.006738549999999999
2021Q4,0.02709624
2022Q1,0.05082729
2022Q2,0.01277543
2022Q3,0.12615794
2022Q4,0.03898595999999999
2023Q1,0.03538799
2023Q2,-0.05134698
2023Q3,-0.025318689999999998
2023Q4,0.007736440000000001
2024Q1,-0.06778416
2024Q2,0.00802221
2024Q3,0.02620021
2024Q4,-0.014595110000000001
2025Q1,-0.01072019
2025Q2,-0.00896936
2025Q3,0.008439889999999999
2025Q4,-0.01065112
